target_type,target_rank,target_id,target_name,person_name,reporting_person_type,role,relationship_basis,form,accession_number,filing_date,event_date,issuer_cik,issuer_name,cusip,filer_cik,shares_beneficially_owned,ownership_percent,document_url,extraction_method,review_status
MANAGER_CIK,4,0000315066,FMR LLC,Abigail P. Johnson,IN,"Duly authorized under Power of Attorney effective as of January 26, 2023, by and on behalf of Abigail P. Johnson**",individual reporting person in manager-CIK filing,SCHEDULE 13G,0000315066-26-002258,2026-08-07,07/31/2026,0002112554,Fidelity Private Credit Co LLC,31634B104,0000315066,78662994.05,100.0,https://www.sec.gov/Archives/edgar/data/315066/000031506626002258/primary_doc.xml,SEC_SCHEDULE_XML,AUTO_EXTRACTED
MANAGER_CIK,4,0000315066,FMR LLC,Abigail P. Johnson,IN,"Duly authorized under Power of Attorney effective as of January 26, 2023, by and on behalf of Abigail P. Johnson**",individual reporting person in manager-CIK filing,SCHEDULE 13G/A,0000315066-26-002257,2026-08-07,07/31/2026,0001899996,Fidelity Private Credit Co LLC,316129105,0000315066,0.00,0.0,https://www.sec.gov/Archives/edgar/data/315066/000031506626002257/primary_doc.xml,SEC_SCHEDULE_XML,AUTO_EXTRACTED
MANAGER_CIK,47,0001067983,Berkshire Hathaway Inc,Warren E. Buffett,IN,,individual reporting person in manager-CIK filing,SCHEDULE 13G/A,0001193125-26-352910,2026-08-14,06/30/2026,0000027904,"DELTA AIR LINES, INC.",247361702,0001067983,57320000,8.7,https://www.sec.gov/Archives/edgar/data/1067983/000119312526352910/primary_doc.xml,SEC_SCHEDULE_XML,AUTO_EXTRACTED
MANAGER_CIK,47,0001067983,Berkshire Hathaway Inc,Warren E. Buffett,IN,,individual reporting person in manager-CIK filing,SCHEDULE 13G,0001193125-26-352904,2026-08-14,06/30/2026,0000920760,LENNAR CORPORATION,526057104,0001067983,13111741,6.2,https://www.sec.gov/Archives/edgar/data/1067983/000119312526352904/primary_doc.xml,SEC_SCHEDULE_XML,AUTO_EXTRACTED
MANAGER_CIK,50,0001273087,MILLENNIUM MANAGEMENT LLC,Israel A. Englander,IN,,individual reporting person in manager-CIK filing,SCHEDULE 13G/A,0001104659-26-100431,2026-08-24,08/17/2026,0002104391,Catalyst Acquisition Corp.,G1955J120,0001273087,1644000.00,7.7,https://www.sec.gov/Archives/edgar/data/1273087/000110465926100431/primary_doc.xml,SEC_SCHEDULE_XML,AUTO_EXTRACTED
MANAGER_CIK,50,0001273087,MILLENNIUM MANAGEMENT LLC,Israel A. Englander,IN,,individual reporting person in manager-CIK filing,SCHEDULE 13G,0001104659-26-098872,2026-08-19,08/17/2026,0001133869,"Capricor Therapeutics, Inc.",14070B309,0001273087,2857387.00,4.9,https://www.sec.gov/Archives/edgar/data/1273087/000110465926098872/primary_doc.xml,SEC_SCHEDULE_XML,AUTO_EXTRACTED
MANAGER_CIK,50,0001273087,MILLENNIUM MANAGEMENT LLC,Israel A. Englander,IN,,individual reporting person in manager-CIK filing,SCHEDULE 13G,0001104659-26-098866,2026-08-19,08/17/2026,0001347178,Vanda Pharmaceuticals Inc.,921659108,0001273087,3376401.00,5.6,https://www.sec.gov/Archives/edgar/data/1273087/000110465926098866/primary_doc.xml,SEC_SCHEDULE_XML,AUTO_EXTRACTED
MANAGER_CIK,101,0001729829,Qube Research & Technologies Ltd,Pierre-Yves Morlat,IN,"Christina Wilgress, attorney-in-fact for Pierre-Yves Morlat*",individual reporting person in manager-CIK filing,SCHEDULE 13G/A,0001729829-26-000005,2026-05-15,03/31/2026,0001939965,Brera Holdings PLC,G13311116,0001729829,2930140.00,3.6,https://www.sec.gov/Archives/edgar/data/1729829/000172982926000005/primary_doc.xml,SEC_SCHEDULE_XML,AUTO_EXTRACTED
MANAGER_CIK,101,0001729829,Qube Research & Technologies Ltd,Pierre-Yves Morlat,IN,"Christina Wilgress, attorney-in-fact for Pierre-Yves Morlat*",individual reporting person in manager-CIK filing,SCHEDULE 13G/A,0001729829-26-000003,2026-02-17,12/31/2025,0001939965,Brera Holdings PLC,,0001729829,6002814.00,7.3,https://www.sec.gov/Archives/edgar/data/1729829/000172982926000003/primary_doc.xml,SEC_SCHEDULE_XML,AUTO_EXTRACTED
MANAGER_CIK,101,0001729829,Qube Research & Technologies Ltd,Pierre-Yves Morlat,IN,Chief Executive Officer,individual reporting person in manager-CIK filing,SCHEDULE 13G,0001729829-25-000056,2025-11-14,09/30/2025,0001939965,Brera Holdings PLC,,0001729829,6529638.00,9.8,https://www.sec.gov/Archives/edgar/data/1729829/000172982925000056/primary_doc.xml,SEC_SCHEDULE_XML,AUTO_EXTRACTED
MANAGER_CIK,112,0001603466,"Point72 Asset Management, L.P.",Steven A. Cohen,IN,"Jason M. Colombo, Authorized Person",individual reporting person in manager-CIK filing,SCHEDULE 13G,0000919574-26-005637,2026-08-20,08/19/2026,0001590750,"Viridian Therapeutics, Inc.",92790C104,0001603466,5687507.00,5.0,https://www.sec.gov/Archives/edgar/data/1603466/000091957426005637/primary_doc.xml,SEC_SCHEDULE_XML,AUTO_EXTRACTED
MANAGER_CIK,112,0001603466,"Point72 Asset Management, L.P.",Steven A. Cohen,IN,"Jason M. Colombo, Authorized Person",individual reporting person in manager-CIK filing,SCHEDULE 13G,0000919574-26-005630,2026-08-19,08/12/2026,0001111485,"RxSight, Inc.",78349D107,0001603466,2487468.00,6.0,https://www.sec.gov/Archives/edgar/data/1603466/000091957426005630/primary_doc.xml,SEC_SCHEDULE_XML,AUTO_EXTRACTED
