cik,person_name,role,relationship_status,source_url,source_label,source_type,review_status,verified_on,display_order,curation_set
0000315066,Abigail P. Johnson,,ASSOCIATED,https://www.sec.gov/Archives/edgar/data/315066/000031506626002258/primary_doc.xml,SEC SCHEDULE 13G filed 2026-08-07,SEC,PUBLISHED,2026-09-04,1,SEC_13DG_TOP_200_2026Q2
0001067983,Warren E. Buffett,,ASSOCIATED,https://www.sec.gov/Archives/edgar/data/1067983/000119312526352910/primary_doc.xml,SEC SCHEDULE 13G/A filed 2026-08-14,SEC,PUBLISHED,2026-09-04,1,SEC_13DG_TOP_200_2026Q2
0001273087,Israel A. Englander,,ASSOCIATED,https://www.sec.gov/Archives/edgar/data/1273087/000110465926100431/primary_doc.xml,SEC SCHEDULE 13G/A filed 2026-08-24,SEC,PUBLISHED,2026-09-04,1,SEC_13DG_TOP_200_2026Q2
0001729829,Pierre-Yves Morlat,,ASSOCIATED,https://www.sec.gov/Archives/edgar/data/1729829/000172982926000005/primary_doc.xml,SEC SCHEDULE 13G/A filed 2026-05-15,SEC,PUBLISHED,2026-09-04,1,SEC_13DG_TOP_200_2026Q2
0001603466,Steven A. Cohen,,ASSOCIATED,https://www.sec.gov/Archives/edgar/data/1603466/000091957426005637/primary_doc.xml,SEC SCHEDULE 13G filed 2026-08-20,SEC,PUBLISHED,2026-09-04,1,SEC_13DG_TOP_200_2026Q2
0000923093,Paul T. Jones II,,ASSOCIATED,https://www.sec.gov/Archives/edgar/data/923093/000090266426001053/primary_doc.xml,SEC SCHEDULE 13G/A filed 2026-02-17,SEC,PUBLISHED,2026-09-04,1,SEC_13DG_TOP_200_2026Q2
0001056288,Ann C. Donahue,,ASSOCIATED,https://www.sec.gov/Archives/edgar/data/1056288/000162363226001029/primary_doc.xml,SEC SCHEDULE 13G/A filed 2026-07-20,SEC,PUBLISHED,2026-09-04,1,SEC_13DG_TOP_200_2026Q2
0001056288,J. Christopher Donahue,,ASSOCIATED,https://www.sec.gov/Archives/edgar/data/1056288/000162363226001029/primary_doc.xml,SEC SCHEDULE 13G/A filed 2026-07-20,SEC,PUBLISHED,2026-09-04,2,SEC_13DG_TOP_200_2026Q2
0001056288,Thomas R. Donahue,,ASSOCIATED,https://www.sec.gov/Archives/edgar/data/1056288/000162363226001029/primary_doc.xml,SEC SCHEDULE 13G/A filed 2026-07-20,SEC,PUBLISHED,2026-09-04,3,SEC_13DG_TOP_200_2026Q2
0001017918,Ronald Baron,,ASSOCIATED,https://www.sec.gov/Archives/edgar/data/1017918/000101791826000064/primary_doc.xml,SEC SCHEDULE 13G/A filed 2026-08-14,SEC,PUBLISHED,2026-09-04,1,SEC_13DG_TOP_200_2026Q2
0001647251,Christopher Hohn,,ASSOCIATED,https://www.sec.gov/Archives/edgar/data/1647251/000090266426002468/primary_doc.xml,SEC SCHEDULE 13G/A filed 2026-05-15,SEC,PUBLISHED,2026-09-04,1,SEC_13DG_TOP_200_2026Q2
0001389958,Jennifer Just,,ASSOCIATED,https://www.sec.gov/Archives/edgar/data/1389958/000138995826000015/primary_doc.xml,SEC SCHEDULE 13G filed 2026-08-13,SEC,PUBLISHED,2026-09-04,1,SEC_13DG_TOP_200_2026Q2
0001389958,Matthew Hulsizer,,ASSOCIATED,https://www.sec.gov/Archives/edgar/data/1389958/000138995826000015/primary_doc.xml,SEC SCHEDULE 13G filed 2026-08-13,SEC,PUBLISHED,2026-09-04,2,SEC_13DG_TOP_200_2026Q2
